parameter,value
tt0_pop,2.143916008
logbeta_pop,0.492935657
beta_logbeta_TYPE_2,-0.202919374
delta0_pop,2.451649985
pi_pop,376.2774676
phi0_pop,34.44774276
beta_phi0_AGE,-0.043685088
rho_pop,0.011937995
beta_rho_TYPE_2,0.031125385
omega_tt0,1.706152845
omega_logbeta,0.156477293
omega_delta0,0.235580047
omega_phi0,1.099625556
omega_rho,0.069904546
a,0.74098486
b,0.010023194
